crop,price_per_tonne,cost_nitrogen_per_kg,cost_phosphorus_per_kg,cost_potash_per_kg,cost_labor_per_ha,cost_machine_per_ha,cost_seed_per_ha,cost_irrigation_per_ha
fig,10,1,1,1,1,1,1,1
flax,10,1,1,1,1,1,1,1
fonio,10,1,1,1,1,1,1,1
fornes,10,1,1,1,1,1,1,1
fruitnes,10,1,1,1,1,1,1,1
garlic,10,1,1,1,1,1,1,1
ginger,10,1,1,1,1,1,1,1
gooseberry,10,1,1,1,1,1,1,1
grape,10,1,1,1,1,1,1,1
grapefruitetc,10,1,1,1,1,1,1,1
grassnes,10,1,1,1,1,1,1,1
greenbean,10,1,1,1,1,1,1,1
greenbroadbean,10,1,1,1,1,1,1,1
greencorn,10,1,1,1,1,1,1,1
greenonion,10,1,1,1,1,1,1,1
greenpea,10,1,1,1,1,1,1,1
groundnut,10,1,1,1,1,1,1,1
gums,10,1,1,1,1,1,1,1
hazelnut,10,1,1,1,1,1,1,1
hemp,10,1,1,1,1,1,1,1
hempseed,10,1,1,1,1,1,1,1
hop,10,1,1,1,1,1,1,1
jute,10,1,1,1,1,1,1,1
jutelikefiber,10,1,1,1,1,1,1,1
kapokfiber,10,1,1,1,1,1,1,1
kapokseed,10,1,1,1,1,1,1,1
karite,10,1,1,1,1,1,1,1
kiwi,10,1,1,1,1,1,1,1
kolanut,10,1,1,1,1,1,1,1
legumenes,10,1,1,1,1,1,1,1
lemonlime,10,1,1,1,1,1,1,1
lentil,10,1,1,1,1,1,1,1
lettuce,10,1,1,1,1,1,1,1
linseed,10,1,1,1,1,1,1,1
lupin,10,1,1,1,1,1,1,1
maize,10,1,1,1,1,1,1,1
maizefor,10,1,1,1,1,1,1,1
mango,10,1,1,1,1,1,1,1
mate,10,1,1,1,1,1,1,1
melonetc,10,1,1,1,1,1,1,1
melonseed,10,1,1,1,1,1,1,1
millet,10,1,1,1,1,1,1,1
mixedgrain,10,1,1,1,1,1,1,1
mixedgrass,10,1,1,1,1,1,1,1
mushroom,10,1,1,1,1,1,1,1
mustard,10,1,1,1,1,1,1,1
nutmeg,10,1,1,1,1,1,1,1
nutnes,10,1,1,1,1,1,1,1
oats,10,1,1,1,1,1,1,1
oilpalm,10,1,1,1,1,1,1,1
oilseedfor,10,1,1,1,1,1,1,1
oilseednes,10,1,1,1,1,1,1,1
okra,10,1,1,1,1,1,1,1
olive,10,1,1,1,1,1,1,1
onion,10,1,1,1,1,1,1,1
orange,10,1,1,1,1,1,1,1
papaya,10,1,1,1,1,1,1,1
pea,10,1,1,1,1,1,1,1
peachetc,10,1,1,1,1,1,1,1
pear,10,1,1,1,1,1,1,1
pepper,10,1,1,1,1,1,1,1
peppermint,10,1,1,1,1,1,1,1
persimmon,10,1,1,1,1,1,1,1
pigeonpea,10,1,1,1,1,1,1,1
pimento,10,1,1,1,1,1,1,1
pineapple,10,1,1,1,1,1,1,1
pistachio,10,1,1,1,1,1,1,1
plantain,10,1,1,1,1,1,1,1
plum,10,1,1,1,1,1,1,1
popcorn,10,1,1,1,1,1,1,1
poppy,10,1,1,1,1,1,1,1
potato,10,1,1,1,1,1,1,1
pulsenes,10,1,1,1,1,1,1,1
pumpkinetc,10,1,1,1,1,1,1,1
pyrethrum,10,1,1,1,1,1,1,1
quince,10,1,1,1,1,1,1,1
quinoa,10,1,1,1,1,1,1,1
ramie,10,1,1,1,1,1,1,1
rapeseed,10,1,1,1,1,1,1,1
rasberry,10,1,1,1,1,1,1,1
rice,10,1,1,1,1,1,1,1
rootnes,10,1,1,1,1,1,1,1
rubber,10,1,1,1,1,1,1,1
rye,10,1,1,1,1,1,1,1
ryefor,10,1,1,1,1,1,1,1
safflower,10,1,1,1,1,1,1,1
sesame,10,1,1,1,1,1,1,1
sisal,10,1,1,1,1,1,1,1
sorghum,10,1,1,1,1,1,1,1
sorghumfor,10,1,1,1,1,1,1,1
sourcherry,10,1,1,1,1,1,1,1
soybean,10,1,1,1,1,1,1,1
spicenes,10,1,1,1,1,1,1,1
spinach,10,1,1,1,1,1,1,1
stonefruitnes,10,1,1,1,1,1,1,1
strawberry,10,1,1,1,1,1,1,1
stringbean,10,1,1,1,1,1,1,1
sugarbeet,10,1,1,1,1,1,1,1
sugarcane,10,1,1,1,1,1,1,1
sugarnes,10,1,1,1,1,1,1,1
sunflower,10,1,1,1,1,1,1,1
swedefor,10,1,1,1,1,1,1,1
sweetpotato,10,1,1,1,1,1,1,1
tangetc,10,1,1,1,1,1,1,1
taro,10,1,1,1,1,1,1,1
tea,10,1,1,1,1,1,1,1
tobacco,10,1,1,1,1,1,1,1
tomato,10,1,1,1,1,1,1,1
triticale,10,1,1,1,1,1,1,1
tropicalnes,10,1,1,1,1,1,1,1
tung,10,1,1,1,1,1,1,1
turnipfor,10,1,1,1,1,1,1,1
vanilla,10,1,1,1,1,1,1,1
vegetablenes,10,1,1,1,1,1,1,1
vegfor,10,1,1,1,1,1,1,1
vetch,10,1,1,1,1,1,1,1
walnut,10,1,1,1,1,1,1,1
watermelon,10,1,1,1,1,1,1,1
wheat,10,1,1,1,1,1,1,1
yam,10,1,1,1,1,1,1,1
yautia,10,1,1,1,1,1,1,1
